itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:17032,Rune of Portals,20,60,1900,Merchant,Bluemage,1769158578,Vendor
i:6622,Sword of Zeal,1,1,249999,Anon1,Bluemage,1769168092,Auction
i:14171:1019,Buccaneer's Pants of the Whale,1,1,1600,Anon2,Bluemage,1769171931,Auction
i:15912:95,Buccaneer's Orb of Spirit,1,1,1556,Anon3,Bluemage,1769171916,Auction
i:6393,Silver-thread Gloves,1,1,2586,Anon4,Bluemage,1769171761,Auction
i:6393,Silver-thread Gloves,1,1,2587,Anon5,Bluemage,1769171763,Auction
i:3065,Bright Boots,1,3,1700,Anon6,Bluemage,1769170436,Auction
i:3065,Bright Boots,1,1,1696,Anon7,Bluemage,1769170396,Auction
i:3065,Bright Boots,1,1,1698,Anon8,Bluemage,1769170385,Auction
i:3065,Bright Boots,1,1,1694,Anon9,Bluemage,1769170386,Auction
i:3065,Bright Boots,1,1,1699,Anon10,Bluemage,1769170303,Auction
i:3065,Bright Boots,1,1,1697,Anon11,Bluemage,1769170303,Auction
i:3065,Bright Boots,1,1,1695,Anon12,Bluemage,1769170304,Auction
i:3065,Bright Boots,1,1,1693,Anon13,Bluemage,1769170301,Auction
i:3065,Bright Boots,1,1,1600,Anon14,Bluemage,1769170286,Auction
i:12001:1113,?,1,1,10499,Anon15,Bluemage,1769183448,Auction
i:12006:673,?,1,1,5997,Anon16,Bluemage,1769183441,Auction
i:12007:234,?,1,1,3000,Anon17,Bluemage,1769183436,Auction
i:9781:766,?,1,1,1400,Anon18,Bluemage,1769182497,Auction
i:9799:763,?,1,1,1000,Anon18,Bluemage,1769182021,Auction
i:8384,Pattern: Comfortable Leather Hat,1,1,900,Anon19,Bluemage,1769180495,Auction
i:9793:1016,?,1,1,1595,Anon3,Bluemage,1769169706,Auction
i:9812:1015,?,1,1,1599,Anon20,Bluemage,1769169600,Auction
i:30420,Heavy Jade Ring,1,2,2197,Anon21,Bluemage,1769169640,Auction
i:3842,Green Iron Leggings,1,1,4098,Anon22,Bluemage,1769169160,Auction
i:3842,Green Iron Leggings,1,1,4100,Anon23,Bluemage,1769169171,Auction
i:20820,Simple Pearl Ring,1,1,1949,Anon24,Bluemage,1769169220,Auction
i:3842,Green Iron Leggings,1,1,4099,Anon25,Bluemage,1769169186,Auction
i:20820,Simple Pearl Ring,1,2,1950,Anon26,Bluemage,1769169229,Auction
i:20820,Simple Pearl Ring,1,5,1994,Anon27,Bluemage,1769169246,Auction
i:3647,Bright Bracers,1,1,1640,Anon14,Bluemage,1769169386,Auction
i:3065,Bright Boots,1,1,1599,Anon28,Bluemage,1769170282,Auction
i:3065,Bright Boots,1,1,1692,Anon29,Bluemage,1769170294,Auction
i:4720,Nightsky Sash,1,1,4000,Anon30,Bluemage,1769169530,Auction
i:3040,Hunter's Muzzle Loader,1,1,1299,Anon31,Bluemage,1769188714,Auction
i:2232,Dark Runner Boots,1,1,1705,Anon32,Bluemage,1769188714,Auction
i:2232,Dark Runner Boots,1,1,1704,Anon33,Bluemage,1769188714,Auction
i:14565,Prospector's Woolies,1,1,1668,Anon34,Bluemage,1769188548,Auction
i:20818,Elegant Silver Ring,1,1,1688,Anon35,Bluemage,1769188561,Auction
i:20818,Elegant Silver Ring,1,1,1699,Anon36,Bluemage,1769188548,Auction
i:20818,Elegant Silver Ring,1,7,1795,Anon37,Bluemage,1769188550,Auction
i:20818,Elegant Silver Ring,1,1,1797,Anon38,Bluemage,1769188562,Auction
i:2865,Rough Bronze Leggings,1,29,1600,Anon39,Bluemage,1769188475,Auction
i:2865,Rough Bronze Leggings,1,4,1649,Anon40,Bluemage,1769188477,Auction
i:2865,Rough Bronze Leggings,1,14,1599,Anon41,Bluemage,1769188482,Auction
i:2865,Rough Bronze Leggings,1,3,1598,Anon42,Bluemage,1769188478,Auction
i:2865,Rough Bronze Leggings,1,4,1599,Anon41,Bluemage,1769188458,Auction
i:2865,Rough Bronze Leggings,1,1,1598,Anon42,Bluemage,1769188470,Auction
i:20827,Ring of Silver Might,1,1,2499,Anon43,Bluemage,1769188494,Auction
i:20827,Ring of Silver Might,1,4,2500,Anon44,Bluemage,1769188499,Auction
i:20827,Ring of Silver Might,1,1,2775,Anon45,Bluemage,1769188507,Auction
i:9822:133,?,1,1,2500,Anon46,Bluemage,1769188532,Auction
i:20818,Elegant Silver Ring,1,1,1795,Anon37,Bluemage,1769188561,Auction
i:20818,Elegant Silver Ring,1,6,1797,Anon38,Bluemage,1769188563,Auction
i:20827,Ring of Silver Might,1,10,2774,Anon47,Bluemage,1769190557,Auction
i:20827,Ring of Silver Might,1,4,2777,Anon48,Bluemage,1769190568,Auction
i:20827,Ring of Silver Might,1,1,2993,Anon49,Bluemage,1769190575,Auction
i:20827,Ring of Silver Might,1,1,2995,Anon50,Bluemage,1769190578,Auction
i:20827,Ring of Silver Might,1,1,2773,Anon51,Bluemage,1769190582,Auction
i:20827,Ring of Silver Might,1,8,2776,Anon52,Bluemage,1769190584,Auction
i:20827,Ring of Silver Might,1,3,2072,Anon53,Bluemage,1769190542,Auction
i:20827,Ring of Silver Might,1,1,2073,Anon54,Bluemage,1769190545,Auction
i:20827,Ring of Silver Might,1,9,2772,Anon55,Bluemage,1769190554,Auction
i:20820,Simple Pearl Ring,1,21,1594,Anon56,Bluemage,1769190349,Auction
i:20955,Golden Dragon Ring,1,1,4499,Anon57,Bluemage,1769190408,Auction
i:15284,Long Battle Bow,1,1,3996,Anon58,Bluemage,1769190418,Auction
i:15284,Long Battle Bow,1,1,3997,Anon59,Bluemage,1769190423,Auction
i:15284,Long Battle Bow,1,1,3999,Anon60,Bluemage,1769190426,Auction
i:15284,Long Battle Bow,1,1,4000,Anon61,Bluemage,1769190429,Auction
i:15284,Long Battle Bow,1,1,3998,Anon62,Bluemage,1769190432,Auction
i:4827,Wizard's Belt,1,1,2898,Anon63,Bluemage,1769190439,Auction
i:4827,Wizard's Belt,1,2,2899,Anon29,Bluemage,1769190445,Auction
i:4827,Wizard's Belt,1,1,2900,Anon64,Bluemage,1769190461,Auction
i:8186,Dire Wand,1,1,3900,Anon65,Bluemage,1769190462,Auction
i:20820,Simple Pearl Ring,1,21,1593,Anon38,Bluemage,1769190336,Auction
i:14171:766,?,1,1,1500,Anon66,Bluemage,1769190318,Auction
i:5069,Fire Wand,1,3,430,Anon67,Bluemage,1769190325,Auction
i:3647,Bright Bracers,1,1,1600,Anon68,Bluemage,1769190286,Auction
i:20827,Ring of Silver Might,1,1,1999,Anon69,Bluemage,1769189655,Auction
i:20827,Ring of Silver Might,1,9,2000,Anon70,Bluemage,1769189658,Auction
i:20827,Ring of Silver Might,1,4,2073,Anon54,Bluemage,1769189671,Auction
i:20907,Solid Bronze Ring,1,3,1700,Anon35,Bluemage,1769188700,Auction
i:2232,Dark Runner Boots,1,3,1701,Anon71,Bluemage,1769188708,Auction
i:2232,Dark Runner Boots,1,2,1702,Anon72,Bluemage,1769188712,Auction
i:15810,?,1,1,9638,Merchant,Bluemage,1769209113,Vendor
i:11039,Formula: Enchant Cloak - Minor Agility,1,1,9095,Anon73,Bluemage,1769245716,Auction
i:6338,Silver Rod,1,1,997,Anon74,Bluemage,1769245440,Auction
i:17031,Rune of Teleportation,1,20,950,Merchant,Bluemage,1769247181,Vendor
i:3056,Forest Leather Pants,1,1,3000,Anon75,Bluemage,1769191088,Auction
i:3056,Forest Leather Pants,1,1,2999,Anon76,Bluemage,1769191090,Auction
i:3056,Forest Leather Pants,1,1,2830,Anon77,Bluemage,1769191082,Auction
i:20828,Ring of Twilight Shadows,1,1,2500,Anon70,Bluemage,1769191050,Auction
i:3056,Forest Leather Pants,1,1,2993,Anon78,Bluemage,1769191090,Auction
i:3056,Forest Leather Pants,1,1,2997,Anon79,Bluemage,1769191092,Auction
i:17032,Rune of Portals,20,60,1900,Merchant,Bluemage,1769250299,Vendor
i:12001:1198,?,1,1,20000,Anon80,Bluemage,1769273021,Auction
i:12001:1198,?,1,1,19999,Anon81,Bluemage,1769273017,Auction
i:12001:1198,?,1,1,19998,Anon82,Bluemage,1769273014,Auction
i:20818,Elegant Silver Ring,1,16,1798,Anon83,Bluemage,1769188620,Auction
i:184937,Chronoboon Displacer,5,5,10599,Anon84,Bluemage,1769275708,Auction
i:14499,Pattern: Mooncloth Bag,1,1,19495,Anon85,Bluemage,1769275063,Auction
i:20818,Elegant Silver Ring,1,1,2000,Anon86,Bluemage,1769188636,Auction
i:3065,Bright Boots,1,1,1600,Anon87,Bluemage,1769188644,Auction
i:20818,Elegant Silver Ring,1,1,1687,Anon88,Bluemage,1769188651,Auction
i:2865,Rough Bronze Leggings,1,4,1694,Anon89,Bluemage,1769188657,Auction
i:2865,Rough Bronze Leggings,1,4,1695,Anon25,Bluemage,1769188648,Auction
i:20907,Solid Bronze Ring,1,2,1699,Anon88,Bluemage,1769188657,Auction
i:20818,Elegant Silver Ring,1,1,1700,Anon35,Bluemage,1769188663,Auction
i:20818,Elegant Silver Ring,1,13,2000,Anon90,Bluemage,1769188584,Auction
i:20818,Elegant Silver Ring,1,3,1796,Anon91,Bluemage,1769188602,Auction
i:20818,Elegant Silver Ring,1,10,1900,Anon92,Bluemage,1769188569,Auction
i:2865,Rough Bronze Leggings,1,3,1599,Anon41,Bluemage,1769188463,Auction
i:20818,Elegant Silver Ring,1,4,1797,Anon38,Bluemage,1769188599,Auction
i:20818,Elegant Silver Ring,1,1,1898,Anon83,Bluemage,1769188565,Auction
i:2865,Rough Bronze Leggings,1,2,1598,Anon42,Bluemage,1769188409,Auction
i:2989,Burnished Tunic,1,1,1597,Anon93,Bluemage,1769188414,Auction
i:2989,Burnished Tunic,1,1,1598,Anon94,Bluemage,1769188416,Auction
i:2989,Burnished Tunic,1,1,1599,Anon95,Bluemage,1769188419,Auction
i:2989,Burnished Tunic,1,1,1600,Anon96,Bluemage,1769188421,Auction
i:2232,Dark Runner Boots,1,1,1500,Anon97,Bluemage,1769188395,Auction
i:2865,Rough Bronze Leggings,1,1,1595,Anon98,Bluemage,1769188398,Auction
i:2865,Rough Bronze Leggings,1,1,1596,Anon99,Bluemage,1769188400,Auction
i:2865,Rough Bronze Leggings,1,2,1597,Anon100,Bluemage,1769188403,Auction
i:8186,Dire Wand,1,1,3896,Anon101,Bluemage,1769188341,Auction
i:8186,Dire Wand,1,1,3898,Anon102,Bluemage,1769188344,Auction
i:11039,Formula: Enchant Cloak - Minor Agility,1,1,9096,Anon103,Bluemage,1769245987,Auction
i:2865,Rough Bronze Leggings,1,1,1895,Anon104,Bluemage,1769191036,Auction
i:20828,Ring of Twilight Shadows,1,1,2500,Anon70,Bluemage,1769191029,Auction
i:20827,Ring of Silver Might,1,2,2534,Anon47,Bluemage,1769288014,Auction
i:14344,Large Brilliant Shard,1,3,41178,Anon105,Bluemage,1769305700,Auction
i:12811,Righteous Orb,1,1,152495,Anon106,Bluemage,1769305671,Auction
i:12811,Righteous Orb,1,1,145499,Anon107,Bluemage,1769305669,Auction
i:12811,Righteous Orb,1,2,139900,Anon108,Bluemage,1769306308,Auction
i:14344,Large Brilliant Shard,1,5,40900,Anon108,Bluemage,1769306228,Auction
i:17032,Rune of Portals,20,40,1900,Merchant,Bluemage,1769320449,Vendor
i:20827,Ring of Silver Might,1,24,2534,Anon47,Bluemage,1769287990,Auction
i:20827,Ring of Silver Might,1,22,2528,Anon109,Bluemage,1769287972,Auction
i:20827,Ring of Silver Might,1,24,2526,Anon109,Bluemage,1769287968,Auction
i:17032,Rune of Portals,20,40,1900,Merchant,Bluemage,1769336169,Vendor
i:20827,Ring of Silver Might,1,28,2524,Anon109,Bluemage,1769287955,Auction
i:22248,Enchanted Runecloth Bag,1,1,149899,Anon110,Bluemage,1769340024,Auction
i:22248,Enchanted Runecloth Bag,1,1,149898,Anon111,Bluemage,1769340016,Auction
i:20827,Ring of Silver Might,1,2,2522,Anon112,Bluemage,1769287934,Auction
i:17031,Rune of Teleportation,20,60,950,Merchant,Bluemage,1769385937,Vendor
i:17031,Rune of Teleportation,1,14,950,Merchant,Bluemage,1769385938,Vendor
i:17031,Rune of Teleportation,19,19,950,Merchant,Bluemage,1769385944,Vendor
i:17031,Rune of Teleportation,7,7,950,Merchant,Bluemage,1769385989,Vendor
i:17032,Rune of Portals,20,60,1900,Merchant,Bluemage,1769395142,Vendor
i:20828,Ring of Twilight Shadows,1,33,2689,Anon113,Bluemage,1769287922,Auction
i:20828,Ring of Twilight Shadows,1,4,2689,Anon114,Bluemage,1769287900,Auction
i:20828,Ring of Twilight Shadows,1,8,2688,Anon115,Bluemage,1769287901,Auction
i:20828,Ring of Twilight Shadows,1,4,2686,Anon116,Bluemage,1769287897,Auction
i:4251,Hillman's Shoulders,1,3,2595,Anon117,Bluemage,1769287389,Auction
i:4251,Hillman's Shoulders,1,53,2593,Anon118,Bluemage,1769287389,Auction
i:30420,Heavy Jade Ring,1,6,2500,Anon119,Bluemage,1769287130,Auction
i:30420,Heavy Jade Ring,1,3,2787,Anon120,Bluemage,1769287129,Auction
i:30420,Heavy Jade Ring,1,8,2494,Anon109,Bluemage,1769287128,Auction
i:30420,Heavy Jade Ring,1,43,2497,Anon121,Bluemage,1769287102,Auction
i:30420,Heavy Jade Ring,1,17,2500,Anon122,Bluemage,1769287071,Auction
i:30420,Heavy Jade Ring,1,16,2500,Anon122,Bluemage,1769287060,Auction
i:30420,Heavy Jade Ring,1,8,2500,Anon122,Bluemage,1769287069,Auction
i:30420,Heavy Jade Ring,1,8,2499,Anon123,Bluemage,1769287056,Auction
i:30420,Heavy Jade Ring,1,5,2496,Anon50,Bluemage,1769287043,Auction
i:30420,Heavy Jade Ring,1,11,2500,Anon119,Bluemage,1769287033,Auction
i:30420,Heavy Jade Ring,1,96,2498,Anon124,Bluemage,1769287035,Auction
i:30420,Heavy Jade Ring,1,12,2496,Anon124,Bluemage,1769287005,Auction
i:30420,Heavy Jade Ring,1,2,2495,Anon115,Bluemage,1769286992,Auction
i:30420,Heavy Jade Ring,1,1,2494,Anon47,Bluemage,1769286990,Auction
i:20827,Ring of Silver Might,1,27,2532,Anon123,Bluemage,1769286965,Auction
i:20827,Ring of Silver Might,1,4,2529,Anon125,Bluemage,1769286965,Auction
i:20827,Ring of Silver Might,1,4,2533,Anon126,Bluemage,1769286921,Auction
i:20827,Ring of Silver Might,1,32,2531,Anon127,Bluemage,1769286920,Auction
i:20827,Ring of Silver Might,1,30,2530,Anon128,Bluemage,1769286876,Auction
i:3212,Lambent Scale Bracers,1,2,2595,Anon129,Bluemage,1769286848,Auction
i:3212,Lambent Scale Bracers,1,1,2591,Anon130,Bluemage,1769286825,Auction
i:3212,Lambent Scale Bracers,1,4,2587,Anon131,Bluemage,1769286825,Auction
i:3212,Lambent Scale Bracers,1,4,2597,Anon132,Bluemage,1769286822,Auction
i:3212,Lambent Scale Bracers,1,1,2593,Anon133,Bluemage,1769286821,Auction
i:3212,Lambent Scale Bracers,1,3,2589,Anon134,Bluemage,1769286820,Auction
i:3212,Lambent Scale Bracers,1,3,2585,Anon135,Bluemage,1769286820,Auction
i:3212,Lambent Scale Bracers,1,1,2583,Anon136,Bluemage,1769286819,Auction
i:3212,Lambent Scale Bracers,1,1,2975,Anon137,Bluemage,1769286824,Auction
i:3212,Lambent Scale Bracers,1,1,2598,Anon138,Bluemage,1769286805,Auction
i:3212,Lambent Scale Bracers,1,1,2596,Anon139,Bluemage,1769286802,Auction
i:3212,Lambent Scale Bracers,1,1,2594,Anon79,Bluemage,1769286802,Auction
i:3212,Lambent Scale Bracers,1,1,2592,Anon140,Bluemage,1769286802,Auction
i:3212,Lambent Scale Bracers,1,1,2590,Anon141,Bluemage,1769286802,Auction
i:3212,Lambent Scale Bracers,1,1,2588,Anon142,Bluemage,1769286813,Auction
i:3212,Lambent Scale Bracers,1,3,2586,Anon143,Bluemage,1769286794,Auction
i:3212,Lambent Scale Bracers,1,4,2584,Anon144,Bluemage,1769286790,Auction
i:3212,Lambent Scale Bracers,1,4,2399,Anon145,Bluemage,1769286790,Auction
i:31154,Bronze Torc,1,16,2772,Anon146,Bluemage,1769286768,Auction
i:31154,Bronze Torc,1,4,2698,Anon147,Bluemage,1769286767,Auction
i:31154,Bronze Torc,1,15,2597,Anon148,Bluemage,1769286767,Auction
i:31154,Bronze Torc,1,14,2497,Anon149,Bluemage,1769286767,Auction
i:31154,Bronze Torc,1,6,2771,Anon150,Bluemage,1769286739,Auction
i:31154,Bronze Torc,1,4,2699,Anon145,Bluemage,1769286738,Auction
i:31154,Bronze Torc,1,4,2600,Anon26,Bluemage,1769286739,Auction
i:31154,Bronze Torc,1,11,2598,Anon24,Bluemage,1769286739,Auction
i:31154,Bronze Torc,1,8,2500,Anon26,Bluemage,1769286740,Auction
i:31154,Bronze Torc,1,4,2498,Anon151,Bluemage,1769286739,Auction
i:31154,Bronze Torc,1,4,2496,Anon152,Bluemage,1769286733,Auction
i:31154,Bronze Torc,1,1,2397,Anon151,Bluemage,1769286721,Auction
i:5212,Blazing Wand,1,1,1249,Anon153,Bluemage,1769286684,Auction
i:5212,Blazing Wand,1,1,1248,Anon154,Bluemage,1769286680,Auction
i:15763,Pattern: Blue Dragonscale Shoulders,1,1,10000,Anon155,Bluemage,1769282968,Auction
i:3056,Forest Leather Pants,1,1,2997,Anon79,Bluemage,1769191082,Auction
i:3056,Forest Leather Pants,1,1,2832,Anon156,Bluemage,1769191080,Auction
i:3056,Forest Leather Pants,1,1,2529,Anon157,Bluemage,1769191054,Auction
i:20828,Ring of Twilight Shadows,1,1,2500,Anon70,Bluemage,1769191047,Auction
i:17032,Rune of Portals,20,20,1900,Merchant,Bluemage,1769431587,Vendor
i:2865,Rough Bronze Leggings,1,2,1897,Anon158,Bluemage,1769191045,Auction
i:2865,Rough Bronze Leggings,1,5,1895,Anon104,Bluemage,1769191044,Auction
i:2865,Rough Bronze Leggings,1,5,1500,Anon159,Bluemage,1769191043,Auction
i:20828,Ring of Twilight Shadows,1,44,2099,Anon56,Bluemage,1769191036,Auction
i:15210:23,?,1,4,1237,Anon160,Bluemage,1769190828,Auction
i:2868,Patterned Bronze Bracers,1,29,1584,Anon161,Bluemage,1769190828,Auction
i:2868,Patterned Bronze Bracers,1,35,1283,Anon104,Bluemage,1769190810,Auction
i:2868,Patterned Bronze Bracers,1,11,1282,Anon162,Bluemage,1769190809,Auction
i:6561,Seer's Padded Armor,1,4,1600,Anon163,Bluemage,1769190779,Auction
i:2079:19,?,1,1,1398,Anon164,Bluemage,1769190754,Auction
i:20955,Golden Dragon Ring,1,40,4499,Anon57,Bluemage,1769190739,Auction
i:15268:96,?,1,4,1200,Anon165,Bluemage,1769190702,Auction
i:2985,Inscribed Leather Breastplate,1,1,1500,Anon163,Bluemage,1769190695,Auction
i:3047,Lambent Scale Gloves,1,4,2900,Anon166,Bluemage,1769190641,Auction
i:3047,Lambent Scale Gloves,1,4,3079,Anon78,Bluemage,1769190639,Auction
i:3047,Lambent Scale Gloves,1,4,2899,Anon167,Bluemage,1769190635,Auction
i:3047,Lambent Scale Gloves,1,3,2898,Anon94,Bluemage,1769190633,Auction
i:20827,Ring of Silver Might,1,16,2994,Anon168,Bluemage,1769190618,Auction
i:20827,Ring of Silver Might,1,31,2776,Anon52,Bluemage,1769190616,Auction
i:20907,Solid Bronze Ring,1,10,1700,Anon35,Bluemage,1769188694,Auction
i:20818,Elegant Silver Ring,1,4,1899,Anon169,Bluemage,1769188672,Auction
i:20818,Elegant Silver Ring,1,5,1700,Anon35,Bluemage,1769188672,Auction
i:20818,Elegant Silver Ring,1,17,1798,Anon83,Bluemage,1769188618,Auction
i:20818,Elegant Silver Ring,1,3,2000,Anon90,Bluemage,1769188588,Auction
i:20818,Elegant Silver Ring,1,6,1900,Anon92,Bluemage,1769188582,Auction
i:2865,Rough Bronze Leggings,1,8,1599,Anon41,Bluemage,1769188441,Auction
i:2865,Rough Bronze Leggings,1,4,1598,Anon42,Bluemage,1769188421,Auction
i:14565,Prospector's Woolies,1,4,1667,Anon170,Bluemage,1769188407,Auction
i:8186,Dire Wand,1,4,3750,Anon171,Bluemage,1769188369,Auction
i:8186,Dire Wand,1,4,4099,Anon172,Bluemage,1769188367,Auction
i:8186,Dire Wand,1,3,3898,Anon102,Bluemage,1769188367,Auction
i:8186,Dire Wand,1,3,3798,Anon173,Bluemage,1769188361,Auction
i:8186,Dire Wand,1,3,4100,Anon14,Bluemage,1769188360,Auction
i:8186,Dire Wand,1,4,3899,Anon174,Bluemage,1769188359,Auction
i:8186,Dire Wand,1,3,3897,Anon175,Bluemage,1769188359,Auction
i:8186,Dire Wand,1,4,3799,Anon176,Bluemage,1769188356,Auction
i:8186,Dire Wand,1,3,3797,Anon177,Bluemage,1769188354,Auction
i:8186,Dire Wand,1,4,3500,Anon178,Bluemage,1769188352,Auction
i:15212:1184,?,1,4,3500,Anon179,Bluemage,1769188345,Auction
i:15212:674,?,1,4,4000,Anon180,Bluemage,1769188340,Auction
i:10593,Imperfect Draenethyst Fragment,2,8,12099,Anon181,Bluemage,1769182102,Auction
i:10593,Imperfect Draenethyst Fragment,1,3,12098,Anon182,Bluemage,1769182099,Auction
i:10593,Imperfect Draenethyst Fragment,1,4,12097,Anon183,Bluemage,1769182091,Auction
i:10593,Imperfect Draenethyst Fragment,1,7,12096,Anon184,Bluemage,1769182088,Auction
i:4708,Bright Belt,1,4,1000,Anon18,Bluemage,1769182034,Auction
i:20864,Bone Scarab,5,20,1969,Anon185,Bluemage,1769181714,Auction
i:20879,Idol of Life,1,4,4000,Anon186,Bluemage,1769180522,Auction
i:20831,Heavy Golden Necklace of Battle,1,11,3887,Anon187,Bluemage,1769169487,Auction
i:20831,Heavy Golden Necklace of Battle,1,4,3885,Anon172,Bluemage,1769169434,Auction
i:20831,Heavy Golden Necklace of Battle,1,4,3886,Anon188,Bluemage,1769169433,Auction
i:6393,Silver-thread Gloves,1,4,2300,Anon189,Bluemage,1769169426,Auction
i:30420,Heavy Jade Ring,1,2,2200,Anon190,Bluemage,1769169414,Auction
i:30420,Heavy Jade Ring,1,3,2199,Anon191,Bluemage,1769169414,Auction
i:30420,Heavy Jade Ring,1,8,2198,Anon192,Bluemage,1769169413,Auction
i:20820,Simple Pearl Ring,1,1,2094,Anon193,Bluemage,1769169269,Auction
i:20820,Simple Pearl Ring,1,8,1700,Anon194,Bluemage,1769169259,Auction
i:20820,Simple Pearl Ring,1,5,2000,Anon195,Bluemage,1769169257,Auction
i:20820,Simple Pearl Ring,1,13,1999,Anon196,Bluemage,1769169257,Auction
i:20820,Simple Pearl Ring,1,4,1998,Anon197,Bluemage,1769169259,Auction
i:20820,Simple Pearl Ring,1,4,1997,Anon198,Bluemage,1769169259,Auction
i:20820,Simple Pearl Ring,1,33,1996,Anon169,Bluemage,1769169259,Auction
i:20820,Simple Pearl Ring,1,8,1995,Anon199,Bluemage,1769169260,Auction
i:20820,Simple Pearl Ring,1,72,1995,Anon200,Bluemage,1769169260,Auction
i:3842,Green Iron Leggings,1,1,4099,Anon25,Bluemage,1769169287,Auction
i:17032,Rune of Portals,20,60,1900,Merchant,Bluemage,1769456563,Vendor
i:28399,Filtered Draenic Water,20,120,1120,Merchant,Bluemage,1769459714,Vendor
i:4339,Bolt of Mageweave,7,7,2895,Anon201,Bluemage,1769482417,Auction
i:4339,Bolt of Mageweave,2,2,2995,Anon202,Bluemage,1769482420,Auction
i:4339,Bolt of Mageweave,2,2,2992,Anon203,Bluemage,1769482424,Auction
i:4339,Bolt of Mageweave,8,8,2991,Anon204,Bluemage,1769482424,Auction
i:4339,Bolt of Mageweave,8,8,2990,Anon205,Bluemage,1769482424,Auction
i:4339,Bolt of Mageweave,3,3,2984,Anon206,Bluemage,1769482424,Auction
i:4339,Bolt of Mageweave,8,8,2982,Anon207,Bluemage,1769482425,Auction
i:4339,Bolt of Mageweave,9,9,2981,Anon208,Bluemage,1769482426,Auction
i:4339,Bolt of Mageweave,3,3,2972,Anon209,Bluemage,1769482426,Auction
i:4339,Bolt of Mageweave,1,1,2976,Anon210,Bluemage,1769482427,Auction
i:4339,Bolt of Mageweave,5,5,2899,Anon211,Bluemage,1769482424,Auction
i:4339,Bolt of Mageweave,9,9,2898,Anon212,Bluemage,1769482423,Auction
i:4339,Bolt of Mageweave,2,2,2894,Anon213,Bluemage,1769482423,Auction
i:4339,Bolt of Mageweave,6,6,2893,Anon214,Bluemage,1769482418,Auction
i:4339,Bolt of Mageweave,2,2,2892,Anon215,Bluemage,1769482417,Auction
i:12057,Dragonscale Band,1,1,19999,Anon216,Bluemage,1769481607,Auction
i:8343,Heavy Silken Thread,20,20,1900,Merchant,Bluemage,1769486720,Vendor
i:8343,Heavy Silken Thread,10,10,1900,Merchant,Bluemage,1769486740,Vendor
i:8343,Heavy Silken Thread,5,5,1900,Merchant,Bluemage,1769486762,Vendor
i:8343,Heavy Silken Thread,1,35,1900,Merchant,Bluemage,1769486783,Vendor
i:7971,Black Pearl,1,1,4210,Anon217,Bluemage,1769496860,Auction
i:11144,Truesilver Rod,1,1,10864,Anon218,Bluemage,1769496789,Auction
i:11137,Vision Dust,3,12,1674,Anon219,Bluemage,1769684172,Auction
i:11137,Vision Dust,1,24,1672,Anon220,Bluemage,1769684172,Auction
i:15083,Wicked Leather Gauntlets,1,27,13397,Anon221,Bluemage,1769773210,Auction
i:14846,Sunscale Gauntlets,1,3,11595,Anon222,Bluemage,1769773149,Auction
i:14846,Sunscale Gauntlets,1,2,11594,Anon223,Bluemage,1769773146,Auction
i:15083,Wicked Leather Gauntlets,1,22,13396,Anon224,Bluemage,1769773252,Auction
i:4369,Deadly Blunderbuss,1,1,8249,Anon225,Bluemage,1769774918,Auction
i:17032,Rune of Portals,1,5,1900,Merchant,Bluemage,1769776610,Vendor
i:17032,Rune of Portals,20,40,1900,Merchant,Bluemage,1769776619,Vendor
i:11225,Formula: Enchant Bracer - Greater Stamina,1,1,109963,Anon226,Bluemage,1769779690,Auction
i:15083,Wicked Leather Gauntlets,1,12,13396,Anon224,Bluemage,1769773202,Auction
i:15083,Wicked Leather Gauntlets,1,4,13499,Anon227,Bluemage,1769773190,Auction
i:15083,Wicked Leather Gauntlets,1,3,13500,Anon228,Bluemage,1769773188,Auction
i:15083,Wicked Leather Gauntlets,1,3,13397,Anon221,Bluemage,1769773185,Auction
i:15083,Wicked Leather Gauntlets,1,13,13395,Anon229,Bluemage,1769773182,Auction
i:17032,Rune of Portals,20,20,1900,Merchant,Bluemage,1769929738,Vendor
i:3654,Brackwater Shield,1,1,2739,Anon230,Bluemage,1770004188,Auction
i:16252,Formula: Enchant Weapon - Crusader,1,1,649999,Anon231,Bluemage,1770005692,Auction
i:16204,Illusion Dust,1,1,7281,Anon232,Bluemage,1770014028,Auction
i:16204,Illusion Dust,1,27,7279,Anon233,Bluemage,1770014029,Auction
i:16204,Illusion Dust,5,10,7280,Anon234,Bluemage,1770014030,Auction
i:16243,Formula: Runed Arcanite Rod,1,1,58787,Anon235,Bluemage,1770014003,Auction
i:13926,Golden Pearl,3,3,44739,Anon236,Bluemage,1770014127,Auction
i:16206,Arcanite Rod,1,1,395547,Anon218,Bluemage,1770014232,Auction
i:2312,Fine Leather Gloves,1,1,5555,Anon237,Bluemage,1770014696,Auction
i:6556:754,?,1,1,1999,Anon238,Bluemage,1770014690,Auction
i:4242,Embossed Leather Pants,1,3,1996,Anon237,Bluemage,1770014684,Auction
i:9757:22,?,1,4,1898,Anon239,Bluemage,1770014682,Auction
i:17032,Rune of Portals,20,20,1900,Merchant,Bluemage,1770016224,Vendor
i:14344,Large Brilliant Shard,1,2,30098,Anon240,Bluemage,1770019271,Auction
i:12811,Righteous Orb,1,1,93498,Anon241,Bluemage,1770019259,Auction
